,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
2561,2,4100000.0,46.0,32.0,6.5,19.402395718899548,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2562,1,4150000.0,24.0,14.0,4.5,13.798490165310644,14.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2563,1,4200000.0,36.0,18.0,9.0,17.205548371211044,10.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0
2564,1,4300000.0,31.0,19.0,6.0,11.889473755844124,23.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
2565,1,4300000.0,25.0,14.0,4.0,11.166249124152435,18.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2566,1,4300000.0,28.4,17.0,5.7,12.853908847176719,10.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2567,1,4400000.0,32.0,20.0,6.0,14.745396179891863,5.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0
2568,1,4400000.0,33.0,19.4,6.0,18.780775367857647,29.0,1.0,1.0,1.0,1.0,5.0,9.0,0.0
2569,1,4400000.0,40.0,21.0,9.3,17.367821842087928,NA,0.0,0.0,1.0,0.0,1.0,12.0,0.0
2570,1,4450000.0,34.7,20.9,7.0,18.50702884438481,10.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0
2571,1,4450000.0,31.7,21.0,6.0,15.162794860361693,NA,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2572,1,4500000.0,32.0,26.0,6.0,17.44366299853954,12.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
2573,1,4500000.0,30.4,18.6,5.6,13.994575427871217,10.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
